Project Type,Team Size,Budget ($k),Duration (months),Stakeholder Count,Methodology Used,Team Experience,Risk Level
Data Analytics Platform,9,75,14,3,Scrum,Mixed,Low
Mobile App,14,75,19,10,Scrum,Senior,Medium
Data Analytics Platform,2,38,4,6,Scrum,Senior,Low
Data Analytics Platform,12,128,36,13,Hybrid,Senior,Medium
AI / ML Project,8,34,9,5,Kanban,Junior,Medium
E-Commerce Platform,9,391,21,7,Scrum,Mixed,Medium
Cloud Migration,3,128,36,5,Waterfall,Junior,High
ERP Implementation,17,199,16,3,Agile,Senior,Medium
Mobile App,8,295,6,7,Kanban,Senior,Low
Data Analytics Platform,15,233,30,8,Agile,Mixed,Medium
ERP Implementation,2,106,2,10,Kanban,Junior,High
E-Commerce Platform,7,240,31,4,Scrum,Junior,Medium
ERP Implementation,6,44,5,2,Scrum,Senior,Low
Data Analytics Platform,4,320,8,11,Scrum,Senior,Low
Cloud Migration,4,161,14,8,Kanban,Senior,Medium
AI / ML Project,7,46,23,7,Hybrid,Junior,High
ERP Implementation,4,470,29,6,Hybrid,Junior,High
AI / ML Project,4,243,25,6,Scrum,Mixed,High
Cloud Migration,6,216,30,8,Hybrid,Senior,Medium
Cybersecurity Solution,27,388,30,15,Hybrid,Junior,High
E-Commerce Platform,4,101,16,5,Kanban,Mixed,Medium
Cybersecurity Solution,5,13,9,5,Waterfall,Junior,Medium
Mobile App,5,207,6,4,Hybrid,Junior,Medium
Data Analytics Platform,9,243,4,6,Waterfall,Mixed,Medium
Cloud Migration,7,34,6,4,Waterfall,Senior,Medium
Cybersecurity Solution,28,287,17,7,Waterfall,Mixed,High
Cybersecurity Solution,10,14,1,6,Scrum,Mixed,Low
Mobile App,23,1715,36,4,Hybrid,Mixed,High
IoT Development,29,18,26,1,Kanban,Senior,Medium
Web Application,13,87,11,8,Scrum,Senior,Low
ERP Implementation,7,653,9,6,Scrum,Senior,Medium
CRM System,5,167,9,1,Kanban,Junior,Medium
ERP Implementation,28,325,31,11,Hybrid,Senior,High
Mobile App,7,103,29,6,Agile,Junior,Medium
Cloud Migration,4,21,17,7,Scrum,Junior,Medium
CRM System,5,285,12,6,Agile,Junior,Medium
E-Commerce Platform,6,424,32,6,Agile,Senior,Medium
E-Commerce Platform,4,59,3,5,Scrum,Senior,Low
Web Application,5,167,9,3,Agile,Junior,Medium
Data Analytics Platform,18,263,7,6,Hybrid,Senior,Medium
Cloud Migration,10,120,12,8,Waterfall,Senior,Medium
Web Application,5,368,25,4,Agile,Senior,Medium
IoT Development,3,176,13,4,Hybrid,Senior,Medium
AI / ML Project,15,253,16,4,Kanban,Senior,Medium
CRM System,2,504,21,8,Scrum,Junior,High
CRM System,20,239,34,9,Kanban,Junior,High
AI / ML Project,5,118,19,5,Hybrid,Mixed,High
AI / ML Project,4,176,23,6,Hybrid,Mixed,High
Mobile App,10,242,35,5,Kanban,Senior,Medium
ERP Implementation,5,367,23,6,Hybrid,Senior,Medium
CRM System,6,65,27,10,Hybrid,Senior,Medium
Mobile App,10,144,24,4,Waterfall,Junior,High
CRM System,4,506,5,4,Agile,Mixed,Medium
CRM System,8,293,16,5,Waterfall,Junior,High
Cybersecurity Solution,6,349,24,11,Scrum,Junior,High
IoT Development,3,131,26,8,Scrum,Senior,High
CRM System,10,1058,8,4,Scrum,Junior,Medium
Mobile App,4,37,17,7,Agile,Mixed,Low
Cybersecurity Solution,6,319,18,10,Hybrid,Senior,Medium
ERP Implementation,8,345,16,9,Agile,Junior,High
Web Application,4,77,34,9,Waterfall,Senior,Medium
Web Application,8,143,6,7,Hybrid,Mixed,Medium
Data Analytics Platform,8,117,25,8,Waterfall,Senior,Medium
Cybersecurity Solution,8,125,26,7,Agile,Senior,Medium
ERP Implementation,5,76,16,4,Hybrid,Senior,Medium
Cybersecurity Solution,6,69,1,6,Agile,Senior,Low
CRM System,26,607,9,2,Agile,Junior,High
Mobile App,6,80,9,5,Waterfall,Mixed,Medium
Cybersecurity Solution,9,30,33,8,Kanban,Junior,High
Mobile App,5,142,30,3,Agile,Senior,Low
CRM System,15,554,2,7,Agile,Senior,Medium
E-Commerce Platform,3,1297,13,7,Hybrid,Mixed,High
Cybersecurity Solution,19,127,2,9,Hybrid,Junior,High
ERP Implementation,3,327,22,5,Waterfall,Mixed,High
ERP Implementation,2,238,2,8,Waterfall,Junior,High
AI / ML Project,6,317,23,5,Scrum,Junior,High
Cybersecurity Solution,28,45,1,8,Hybrid,Junior,High
Cybersecurity Solution,2,311,9,5,Scrum,Mixed,Medium
Mobile App,10,154,8,9,Scrum,Senior,Low
ERP Implementation,15,136,10,8,Scrum,Senior,Medium
E-Commerce Platform,4,79,19,8,Agile,Senior,Medium
E-Commerce Platform,6,64,15,4,Hybrid,Junior,Medium
ERP Implementation,7,132,35,6,Kanban,Senior,Medium
IoT Development,6,167,7,5,Hybrid,Mixed,Medium
Mobile App,6,243,27,7,Waterfall,Junior,High
IoT Development,27,432,36,7,Waterfall,Junior,High
Cybersecurity Solution,8,331,9,6,Waterfall,Senior,Medium
Cloud Migration,8,335,26,9,Kanban,Mixed,Medium
ERP Implementation,7,38,8,11,Agile,Mixed,Medium
ERP Implementation,7,132,5,7,Agile,Senior,Low
Web Application,18,663,11,7,Waterfall,Junior,High
E-Commerce Platform,7,594,20,7,Waterfall,Mixed,High
ERP Implementation,11,359,28,5,Agile,Junior,High
IoT Development,6,244,31,7,Waterfall,Junior,High
Cybersecurity Solution,3,117,3,6,Agile,Junior,High
Data Analytics Platform,2,113,10,3,Hybrid,Senior,Medium
ERP Implementation,6,387,24,6,Hybrid,Junior,High
CRM System,8,139,24,9,Hybrid,Junior,High
AI / ML Project,9,88,30,6,Waterfall,Mixed,High
AI / ML Project,7,14,22,4,Agile,Senior,Medium
Web Application,8,245,24,5,Kanban,Junior,Medium
E-Commerce Platform,5,91,27,6,Scrum,Junior,Medium
Mobile App,4,93,24,3,Scrum,Mixed,Medium
AI / ML Project,6,159,1,7,Scrum,Senior,Low
CRM System,7,321,17,7,Hybrid,Junior,Medium
Data Analytics Platform,5,41,28,11,Agile,Junior,Medium
Cloud Migration,13,130,10,6,Hybrid,Mixed,Medium
Cloud Migration,4,25,35,3,Waterfall,Junior,High
E-Commerce Platform,10,101,8,6,Waterfall,Mixed,Medium
E-Commerce Platform,17,56,34,5,Hybrid,Senior,Medium
CRM System,14,77,29,8,Waterfall,Junior,High
Cybersecurity Solution,7,228,7,6,Hybrid,Mixed,Medium
IoT Development,29,132,36,9,Kanban,Junior,High
Mobile App,6,110,28,4,Hybrid,Senior,Medium
Mobile App,24,622,35,12,Scrum,Mixed,High
Cloud Migration,9,169,31,10,Agile,Senior,Medium
E-Commerce Platform,6,226,14,4,Agile,Senior,Low
Web Application,23,61,7,9,Kanban,Junior,Medium
Cloud Migration,13,26,4,6,Waterfall,Junior,Medium
IoT Development,10,222,3,6,Waterfall,Mixed,Medium
Web Application,8,37,6,3,Kanban,Mixed,Low
AI / ML Project,2,76,10,5,Kanban,Senior,Medium
E-Commerce Platform,8,204,21,5,Waterfall,Senior,Medium
Data Analytics Platform,11,65,21,2,Waterfall,Mixed,High
ERP Implementation,25,64,9,4,Hybrid,Mixed,High
ERP Implementation,4,44,19,10,Agile,Senior,Medium
ERP Implementation,25,189,35,6,Agile,Senior,High
Cybersecurity Solution,3,414,36,5,Waterfall,Mixed,High
Cybersecurity Solution,8,283,6,6,Kanban,Junior,High
CRM System,4,334,22,5,Scrum,Senior,Medium
Cloud Migration,7,139,34,2,Agile,Mixed,Medium
Cloud Migration,6,177,2,6,Waterfall,Senior,Medium
Cloud Migration,8,136,21,6,Scrum,Mixed,Medium
ERP Implementation,8,75,16,9,Hybrid,Senior,Medium
Data Analytics Platform,12,123,12,4,Kanban,Mixed,Medium
Web Application,7,148,21,6,Waterfall,Junior,High
Mobile App,11,155,3,3,Hybrid,Junior,Medium
IoT Development,4,22,19,6,Hybrid,Senior,Medium
E-Commerce Platform,3,179,18,5,Agile,Mixed,Medium
CRM System,8,414,15,7,Kanban,Senior,Low
Cybersecurity Solution,6,300,28,2,Agile,Mixed,Medium
Web Application,5,58,36,10,Agile,Junior,Medium
CRM System,3,130,35,7,Hybrid,Senior,Medium
AI / ML Project,4,919,24,7,Waterfall,Junior,High
Web Application,27,76,20,4,Hybrid,Mixed,High
Cybersecurity Solution,16,213,6,7,Kanban,Junior,High
AI / ML Project,7,147,11,6,Scrum,Junior,Medium
Cybersecurity Solution,10,37,22,7,Scrum,Junior,Medium
Cloud Migration,6,31,20,9,Agile,Junior,Medium
AI / ML Project,6,195,3,5,Agile,Mixed,Medium
IoT Development,26,64,6,4,Hybrid,Senior,Medium
IoT Development,5,205,5,6,Kanban,Junior,Medium
Web Application,4,34,13,4,Hybrid,Senior,Low
IoT Development,10,261,21,6,Kanban,Mixed,High
CRM System,5,51,22,5,Hybrid,Mixed,Medium
CRM System,12,858,2,4,Kanban,Senior,Medium
Mobile App,16,419,5,4,Waterfall,Senior,Medium
Data Analytics Platform,28,40,27,5,Scrum,Senior,Medium
Cybersecurity Solution,15,100,33,6,Agile,Junior,High
Cloud Migration,10,57,7,9,Hybrid,Mixed,Medium
E-Commerce Platform,10,97,28,5,Agile,Mixed,Medium
Cloud Migration,14,124,22,5,Hybrid,Senior,Medium
Mobile App,12,67,12,5,Waterfall,Mixed,Medium
Web Application,10,89,3,6,Kanban,Senior,Low
IoT Development,11,67,8,10,Kanban,Senior,Medium
CRM System,5,119,15,7,Waterfall,Junior,Medium
IoT Development,6,138,31,3,Agile,Junior,High
Mobile App,6,136,36,5,Agile,Junior,Medium
E-Commerce Platform,4,46,24,4,Kanban,Senior,Low
E-Commerce Platform,11,145,35,2,Waterfall,Junior,High
Cybersecurity Solution,9,64,3,10,Agile,Mixed,Medium
CRM System,5,478,20,2,Scrum,Senior,Low
Mobile App,5,166,9,5,Agile,Senior,Low
Cybersecurity Solution,12,181,15,7,Kanban,Senior,Medium
AI / ML Project,7,330,21,5,Kanban,Senior,Medium
Data Analytics Platform,11,65,4,6,Waterfall,Senior,Medium
CRM System,5,131,22,7,Hybrid,Mixed,Medium
Mobile App,3,99,24,4,Waterfall,Senior,High
Data Analytics Platform,9,1803,28,3,Kanban,Senior,Medium
CRM System,7,320,22,13,Kanban,Senior,Medium
ERP Implementation,4,316,26,5,Scrum,Junior,High
IoT Development,8,12,28,3,Scrum,Junior,Medium
Data Analytics Platform,11,230,19,4,Agile,Senior,Medium
CRM System,3,10,25,9,Kanban,Senior,Medium
IoT Development,3,73,33,9,Agile,Senior,High
IoT Development,11,306,17,4,Kanban,Senior,Medium
Cybersecurity Solution,4,86,15,8,Scrum,Senior,Medium
Mobile App,5,90,27,6,Kanban,Mixed,Medium
Data Analytics Platform,7,309,26,5,Kanban,Mixed,Medium
E-Commerce Platform,12,603,27,7,Agile,Junior,High
AI / ML Project,9,99,26,10,Waterfall,Senior,High
Web Application,21,943,21,8,Scrum,Junior,High
CRM System,5,155,8,6,Kanban,Mixed,Medium
AI / ML Project,5,330,2,5,Kanban,Senior,Medium
Cloud Migration,6,143,24,6,Hybrid,Mixed,Medium
CRM System,9,37,32,6,Hybrid,Mixed,Medium
Cloud Migration,2,169,20,9,Waterfall,Junior,High
CRM System,6,80,9,7,Scrum,Senior,Low
ERP Implementation,8,37,2,5,Scrum,Junior,Medium
E-Commerce Platform,18,125,15,6,Hybrid,Mixed,Medium
Data Analytics Platform,9,36,14,5,Hybrid,Mixed,Medium
IoT Development,6,183,4,4,Kanban,Junior,Medium
E-Commerce Platform,12,113,14,6,Waterfall,Senior,Medium
Cloud Migration,25,42,5,8,Agile,Mixed,Medium
AI / ML Project,7,117,29,5,Kanban,Junior,High
AI / ML Project,6,64,12,7,Kanban,Mixed,Medium
AI / ML Project,3,583,26,10,Waterfall,Mixed,High
AI / ML Project,18,239,21,7,Kanban,Mixed,High
IoT Development,13,127,28,3,Kanban,Mixed,Medium
CRM System,11,328,11,5,Kanban,Junior,Medium
CRM System,8,154,4,9,Hybrid,Mixed,Medium
Cybersecurity Solution,12,94,28,8,Waterfall,Mixed,High
CRM System,10,938,11,8,Kanban,Mixed,Medium
Data Analytics Platform,5,146,32,7,Hybrid,Senior,Medium
Web Application,3,330,11,9,Scrum,Senior,Medium
Data Analytics Platform,7,103,17,3,Waterfall,Mixed,Medium
Mobile App,4,79,33,5,Scrum,Mixed,Medium
E-Commerce Platform,17,259,7,7,Waterfall,Senior,Medium
Data Analytics Platform,17,781,21,4,Hybrid,Senior,High
Web Application,8,86,2,5,Waterfall,Mixed,Low
Cybersecurity Solution,6,485,7,8,Kanban,Junior,Medium
E-Commerce Platform,8,73,1,3,Kanban,Junior,Low
ERP Implementation,4,152,36,7,Agile,Junior,High
Cybersecurity Solution,3,83,15,4,Hybrid,Mixed,High
Web Application,12,402,16,3,Agile,Junior,Medium
E-Commerce Platform,2,118,21,9,Kanban,Senior,Medium
AI / ML Project,3,112,30,11,Hybrid,Junior,High
Cybersecurity Solution,6,65,3,6,Hybrid,Senior,Low
Web Application,3,23,22,4,Agile,Junior,High
Mobile App,12,226,24,7,Agile,Senior,Medium
E-Commerce Platform,8,214,36,6,Hybrid,Junior,High
ERP Implementation,8,138,15,7,Scrum,Junior,Medium
IoT Development,13,454,26,2,Hybrid,Junior,High
Cloud Migration,12,176,24,4,Kanban,Mixed,Medium
ERP Implementation,14,55,27,7,Hybrid,Senior,Medium
Web Application,6,105,28,8,Agile,Junior,High
ERP Implementation,5,165,3,7,Agile,Mixed,Medium
CRM System,5,80,35,6,Scrum,Junior,Medium
Cloud Migration,8,662,5,3,Scrum,Senior,Low
IoT Development,12,297,36,9,Waterfall,Senior,High
Data Analytics Platform,25,72,29,13,Hybrid,Mixed,High
IoT Development,15,306,33,5,Hybrid,Senior,High
CRM System,19,552,12,8,Waterfall,Junior,High
Web Application,13,40,36,9,Waterfall,Mixed,High
Mobile App,6,119,6,5,Scrum,Mixed,Low
Mobile App,11,125,12,11,Agile,Mixed,Medium
Cloud Migration,15,148,5,10,Hybrid,Mixed,Medium
AI / ML Project,12,236,18,7,Hybrid,Mixed,High
E-Commerce Platform,5,58,1,3,Waterfall,Junior,Medium
Mobile App,10,34,3,5,Kanban,Senior,Low
Data Analytics Platform,4,207,13,6,Kanban,Junior,Medium
ERP Implementation,7,151,27,4,Scrum,Senior,Medium
Web Application,5,92,13,11,Scrum,Mixed,Low
Web Application,7,115,24,4,Scrum,Senior,Low
E-Commerce Platform,6,188,36,7,Waterfall,Junior,High
ERP Implementation,11,221,6,7,Agile,Senior,Medium
Data Analytics Platform,6,32,4,6,Waterfall,Mixed,Medium
E-Commerce Platform,7,240,35,5,Hybrid,Mixed,Medium
E-Commerce Platform,6,161,9,11,Kanban,Senior,Low
IoT Development,29,198,16,7,Agile,Senior,Medium
Web Application,4,32,18,4,Hybrid,Mixed,Medium
IoT Development,18,37,9,5,Hybrid,Mixed,Medium
AI / ML Project,7,110,15,7,Hybrid,Junior,High
ERP Implementation,28,734,28,3,Scrum,Junior,High
IoT Development,8,68,16,7,Scrum,Junior,Medium
CRM System,8,95,18,6,Scrum,Mixed,Medium
Cybersecurity Solution,16,54,13,10,Kanban,Senior,Medium
Cloud Migration,7,60,31,5,Agile,Junior,Medium
ERP Implementation,9,61,25,3,Scrum,Mixed,Medium
Data Analytics Platform,13,117,18,7,Kanban,Senior,Low
AI / ML Project,7,202,26,7,Waterfall,Mixed,High
E-Commerce Platform,5,176,6,4,Waterfall,Junior,Medium
Cybersecurity Solution,5,75,28,9,Agile,Senior,Medium
Data Analytics Platform,8,479,8,4,Scrum,Senior,Low
E-Commerce Platform,8,58,32,6,Agile,Mixed,Medium
AI / ML Project,9,371,19,6,Waterfall,Junior,High
ERP Implementation,9,80,36,4,Agile,Junior,High
AI / ML Project,5,37,36,6,Scrum,Mixed,Medium
IoT Development,3,22,32,6,Waterfall,Mixed,High
Mobile App,3,655,26,6,Scrum,Senior,Medium
Web Application,12,279,3,5,Scrum,Senior,Low
CRM System,3,605,31,4,Waterfall,Senior,High
Mobile App,10,60,23,7,Hybrid,Senior,Medium
Mobile App,16,69,9,4,Agile,Junior,Medium
Web Application,5,54,18,2,Agile,Senior,Low
Data Analytics Platform,8,206,18,7,Hybrid,Mixed,Medium
AI / ML Project,2,170,15,3,Waterfall,Mixed,High
E-Commerce Platform,7,45,4,2,Kanban,Mixed,Low
ERP Implementation,6,103,25,4,Waterfall,Mixed,High
ERP Implementation,4,76,1,11,Waterfall,Senior,Medium
Data Analytics Platform,12,220,30,4,Agile,Senior,Medium
Data Analytics Platform,2,105,1,10,Kanban,Senior,Medium
Mobile App,6,99,10,6,Kanban,Junior,Medium
AI / ML Project,24,588,26,13,Scrum,Senior,High
AI / ML Project,8,130,7,5,Agile,Junior,Medium
Web Application,7,814,4,5,Hybrid,Junior,Medium
Web Application,15,193,33,4,Scrum,Junior,Medium
ERP Implementation,4,530,23,3,Agile,Mixed,High
Web Application,5,199,21,4,Waterfall,Senior,Medium
ERP Implementation,13,84,35,7,Agile,Senior,Medium
Data Analytics Platform,9,77,11,4,Scrum,Mixed,Medium
Cloud Migration,5,229,36,12,Agile,Mixed,Medium
Web Application,10,83,12,2,Hybrid,Mixed,Medium
AI / ML Project,13,196,21,9,Kanban,Mixed,High
CRM System,5,164,22,3,Kanban,Senior,Medium
CRM System,23,139,15,8,Agile,Senior,Medium
ERP Implementation,11,255,13,3,Waterfall,Mixed,High
Data Analytics Platform,21,192,4,8,Agile,Junior,Medium
Cybersecurity Solution,11,181,9,4,Waterfall,Junior,High
ERP Implementation,3,373,30,3,Scrum,Senior,Medium
Cybersecurity Solution,9,202,31,6,Waterfall,Mixed,High
Cloud Migration,6,161,23,3,Scrum,Senior,Medium
E-Commerce Platform,5,292,5,4,Hybrid,Senior,Medium
AI / ML Project,3,268,9,4,Hybrid,Junior,High
Cloud Migration,10,42,28,4,Scrum,Mixed,Medium
Web Application,26,114,34,7,Kanban,Mixed,Medium
Web Application,9,72,9,7,Scrum,Mixed,Low
CRM System,5,173,18,5,Agile,Senior,Low
Cloud Migration,2,31,6,3,Hybrid,Junior,Medium
IoT Development,9,251,31,1,Scrum,Junior,High
CRM System,8,896,34,6,Kanban,Mixed,Medium
Cloud Migration,2,103,12,4,Scrum,Mixed,Medium
Cybersecurity Solution,5,196,26,8,Kanban,Mixed,Medium
Web Application,8,449,13,3,Scrum,Junior,Medium
AI / ML Project,9,240,33,4,Hybrid,Mixed,High
IoT Development,7,96,17,7,Scrum,Mixed,Medium
CRM System,6,115,13,5,Waterfall,Mixed,Medium
Mobile App,6,204,5,6,Agile,Senior,Low
Cybersecurity Solution,8,76,11,12,Kanban,Senior,Medium
CRM System,6,514,15,12,Agile,Senior,Medium
Cloud Migration,10,108,12,6,Agile,Mixed,Medium
Cybersecurity Solution,8,460,3,4,Waterfall,Senior,Medium
ERP Implementation,21,77,16,6,Kanban,Junior,High
E-Commerce Platform,14,133,15,12,Waterfall,Senior,Medium
E-Commerce Platform,3,245,7,4,Hybrid,Junior,High
CRM System,10,147,24,6,Waterfall,Junior,High
IoT Development,7,276,34,2,Agile,Mixed,Medium
Mobile App,9,110,13,1,Kanban,Mixed,Low
Web Application,28,118,24,7,Hybrid,Mixed,Medium
E-Commerce Platform,8,21,34,9,Kanban,Senior,Medium
Web Application,16,388,8,7,Agile,Junior,Medium
E-Commerce Platform,8,340,12,7,Scrum,Mixed,Medium
CRM System,6,623,25,9,Kanban,Mixed,High
Mobile App,7,237,18,3,Agile,Mixed,Medium
AI / ML Project,17,176,21,5,Kanban,Junior,High
Mobile App,23,58,21,3,Agile,Mixed,Medium
ERP Implementation,9,68,7,6,Kanban,Senior,Medium
IoT Development,4,137,15,10,Agile,Mixed,Medium
Cloud Migration,11,1001,34,4,Waterfall,Mixed,High
Web Application,6,225,11,4,Waterfall,Senior,Medium
AI / ML Project,4,154,9,8,Waterfall,Senior,Medium
Cybersecurity Solution,21,153,35,4,Hybrid,Senior,High
Web Application,19,95,18,3,Kanban,Mixed,Medium
Web Application,4,63,7,6,Waterfall,Mixed,Medium
Web Application,8,56,24,4,Kanban,Senior,Medium
E-Commerce Platform,3,122,20,10,Scrum,Junior,High
IoT Development,12,513,12,6,Agile,Junior,High
CRM System,6,260,34,7,Scrum,Senior,Medium
Mobile App,5,211,3,6,Waterfall,Mixed,Medium
Cloud Migration,5,81,2,8,Waterfall,Mixed,Medium
Data Analytics Platform,3,71,6,4,Agile,Mixed,Medium
Cybersecurity Solution,5,175,14,5,Kanban,Mixed,Medium
CRM System,4,53,19,6,Kanban,Mixed,Medium
CRM System,6,111,20,8,Agile,Senior,Medium
Cloud Migration,15,131,1,8,Scrum,Junior,Medium
Web Application,4,285,25,10,Hybrid,Junior,High
Mobile App,9,84,23,9,Waterfall,Senior,Medium
Web Application,6,206,27,8,Waterfall,Senior,Medium
CRM System,11,42,7,8,Waterfall,Junior,High
CRM System,27,173,33,5,Kanban,Senior,Medium
IoT Development,27,158,10,7,Waterfall,Senior,High
ERP Implementation,2,29,12,3,Waterfall,Mixed,High
Web Application,5,329,32,4,Agile,Mixed,Medium
Cloud Migration,6,203,34,9,Kanban,Mixed,Medium
ERP Implementation,7,175,20,8,Agile,Senior,Medium
AI / ML Project,12,107,9,6,Agile,Junior,Medium
Mobile App,7,100,25,4,Waterfall,Senior,Medium
ERP Implementation,6,30,33,6,Kanban,Mixed,Medium
IoT Development,9,167,4,9,Kanban,Senior,Medium
CRM System,9,90,15,7,Hybrid,Senior,Medium
CRM System,16,168,25,5,Hybrid,Senior,Medium
Data Analytics Platform,6,59,6,1,Kanban,Mixed,Low
IoT Development,5,162,25,7,Kanban,Senior,Medium
CRM System,16,71,6,9,Hybrid,Mixed,Medium
ERP Implementation,4,109,5,8,Hybrid,Junior,Medium
E-Commerce Platform,15,264,23,2,Kanban,Senior,Medium
Cloud Migration,7,160,21,5,Agile,Junior,High
Cloud Migration,19,48,12,7,Waterfall,Mixed,High
Cloud Migration,3,86,12,3,Waterfall,Mixed,High
Data Analytics Platform,7,235,27,5,Scrum,Mixed,Medium
Web Application,12,162,34,5,Hybrid,Junior,Medium
Data Analytics Platform,3,95,18,6,Agile,Mixed,Medium
AI / ML Project,24,110,25,5,Agile,Mixed,High
E-Commerce Platform,8,59,28,6,Scrum,Senior,Medium
AI / ML Project,9,78,19,8,Kanban,Mixed,High
E-Commerce Platform,8,290,29,2,Kanban,Junior,Medium
E-Commerce Platform,11,37,9,3,Waterfall,Senior,Medium
IoT Development,4,653,32,5,Hybrid,Mixed,High
Mobile App,7,361,12,6,Scrum,Mixed,Low
AI / ML Project,2,171,36,5,Waterfall,Mixed,High
Cybersecurity Solution,2,106,33,8,Hybrid,Senior,High
E-Commerce Platform,6,173,24,4,Kanban,Senior,Medium
Mobile App,5,235,36,5,Hybrid,Mixed,Medium
AI / ML Project,2,520,10,2,Kanban,Junior,High
Cybersecurity Solution,22,143,19,4,Waterfall,Junior,High
IoT Development,6,43,23,10,Kanban,Mixed,Medium
ERP Implementation,5,29,4,3,Hybrid,Senior,Low
Web Application,12,346,19,3,Hybrid,Mixed,Medium
Cloud Migration,4,119,8,2,Hybrid,Mixed,Medium
Web Application,6,404,22,5,Kanban,Senior,Medium
AI / ML Project,3,165,20,7,Kanban,Mixed,High
Data Analytics Platform,6,229,35,8,Agile,Mixed,Medium
IoT Development,6,43,17,5,Agile,Mixed,Medium
ERP Implementation,12,155,14,4,Scrum,Senior,Medium
AI / ML Project,6,309,27,1,Waterfall,Junior,High
Mobile App,16,211,24,5,Waterfall,Senior,High
Web Application,13,240,4,4,Kanban,Mixed,Medium
Mobile App,6,148,13,3,Kanban,Mixed,Low
E-Commerce Platform,14,161,11,10,Scrum,Senior,Medium
AI / ML Project,6,1217,22,3,Kanban,Senior,High
IoT Development,14,120,11,3,Kanban,Junior,High
ERP Implementation,5,95,24,7,Waterfall,Junior,High
IoT Development,4,60,14,5,Kanban,Mixed,Medium
Mobile App,3,135,18,9,Kanban,Senior,Medium
Data Analytics Platform,3,126,12,8,Waterfall,Senior,Medium
CRM System,16,235,30,10,Agile,Senior,Medium
Cloud Migration,18,24,1,7,Kanban,Junior,Medium
Web Application,2,53,1,6,Agile,Junior,Medium
E-Commerce Platform,12,71,24,6,Hybrid,Junior,High
IoT Development,7,131,20,8,Kanban,Mixed,High
ERP Implementation,9,145,22,9,Waterfall,Mixed,High
IoT Development,7,147,27,7,Hybrid,Senior,Medium
ERP Implementation,3,607,32,6,Kanban,Senior,High
CRM System,7,127,3,8,Kanban,Junior,Medium
AI / ML Project,16,65,22,3,Agile,Junior,High
Cloud Migration,2,928,2,6,Scrum,Senior,Medium
Cloud Migration,3,55,25,7,Kanban,Senior,Medium
Cybersecurity Solution,5,423,30,3,Hybrid,Mixed,High
Cloud Migration,7,362,2,3,Scrum,Junior,Medium
Cloud Migration,4,224,33,11,Agile,Senior,Medium
Data Analytics Platform,6,108,29,3,Scrum,Junior,Medium
CRM System,5,253,3,12,Kanban,Mixed,Medium
CRM System,7,157,31,9,Agile,Junior,High
Cloud Migration,4,175,1,4,Scrum,Junior,Medium
CRM System,8,212,8,2,Agile,Mixed,Medium
IoT Development,28,120,11,6,Kanban,Junior,High
Cloud Migration,4,461,2,8,Hybrid,Junior,Medium
AI / ML Project,25,69,35,5,Agile,Mixed,High
CRM System,12,90,10,4,Scrum,Senior,Low
Cybersecurity Solution,6,196,8,3,Kanban,Senior,Low
AI / ML Project,6,604,6,5,Scrum,Senior,Medium
Cybersecurity Solution,9,50,28,5,Kanban,Mixed,Medium
CRM System,12,451,7,7,Hybrid,Mixed,Medium
Cloud Migration,4,251,27,4,Hybrid,Senior,Medium
Cloud Migration,9,192,35,10,Scrum,Mixed,Medium
Mobile App,11,126,9,10,Agile,Mixed,Medium
Web Application,6,157,2,6,Waterfall,Senior,Low
ERP Implementation,7,122,6,3,Kanban,Senior,Low
Data Analytics Platform,6,702,11,8,Scrum,Junior,Medium
IoT Development,23,62,16,7,Kanban,Mixed,High
ERP Implementation,11,735,10,2,Scrum,Mixed,Medium
Mobile App,13,562,35,6,Kanban,Junior,High
Cloud Migration,5,139,15,9,Scrum,Junior,Medium
Cybersecurity Solution,7,151,29,7,Kanban,Junior,High
Mobile App,6,60,12,5,Agile,Mixed,Low
Cybersecurity Solution,9,142,16,9,Hybrid,Mixed,Medium
CRM System,11,109,6,7,Kanban,Junior,Medium
E-Commerce Platform,8,829,29,11,Hybrid,Mixed,High
Mobile App,7,136,27,10,Waterfall,Mixed,Medium
E-Commerce Platform,4,49,29,5,Kanban,Mixed,Medium
ERP Implementation,14,48,2,11,Agile,Senior,Medium
Data Analytics Platform,8,195,4,8,Waterfall,Mixed,Medium
Web Application,4,80,32,10,Scrum,Mixed,Medium
AI / ML Project,6,178,30,8,Hybrid,Senior,High
Web Application,2,212,33,7,Hybrid,Junior,High
Mobile App,3,243,27,4,Scrum,Junior,High
ERP Implementation,5,111,16,6,Agile,Mixed,Medium
Cloud Migration,9,342,3,7,Agile,Junior,Medium
Web Application,5,410,5,8,Agile,Mixed,Medium
ERP Implementation,18,362,4,3,Scrum,Junior,High
Cybersecurity Solution,25,312,9,5,Scrum,Senior,Medium
ERP Implementation,2,96,21,6,Hybrid,Mixed,High
CRM System,15,66,33,6,Hybrid,Mixed,Medium
Data Analytics Platform,25,166,26,6,Waterfall,Junior,High
ERP Implementation,5,24,18,2,Waterfall,Junior,High
Cybersecurity Solution,6,402,5,2,Waterfall,Mixed,Medium
Cybersecurity Solution,8,68,2,2,Agile,Senior,Low
CRM System,13,64,31,9,Kanban,Junior,High
E-Commerce Platform,8,20,5,3,Scrum,Junior,Medium
IoT Development,19,43,32,9,Hybrid,Mixed,High
